Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Trade_Types,Rank
3826087012661391104,0.1756591815203734,532.65697373,10.716902778737108,-2.943395779095924e+19,0.5833333333333334,63,108,"BUY_SHORT, BUY_LONG, SELL_SHORT",37.0
3937714876784951296,0.0017680012633937566,1117.5308932100006,0.25898388228142283,-8.902406459416894e+48,0.3933463796477495,201,511,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",117.75
3993222640082269952,0.0047630286956710675,1884.46844302,1.458594700903881,-6.077652937981722e+49,0.4645286686103013,1434,3087,"BUY_SHORT, SELL_LONG, BUY_LONG, SELL_SHORT",93.25
3910983669796782848,0.014302418209834944,6761.648048249999,5.255079016763649,-inf,0.428125,274,640,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",40.25
3952087967771302912,0.011686819544481477,1032.60525986,2.756912657205792,0.0,0.3372093023255814,58,172,"BUY_BOTH, SELL_BOTH",91.75
4037511388357114368,0.008149741304131377,3552.34051692,1.3989233056200112,-1.2664440917563375e+44,0.4333683105981112,413,953,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",77.5
4023616625178799873,0.016818685390605083,2087.7711930100004,4.021715837692748,-7.123954955675554e+74,0.40991535671100365,339,827,"SELL_SHORT, BUY_SHORT, SELL_LONG, BUY_LONG",63.25
3975304792994095360,0.007772853961407538,2536.0810463,4.168090236952869,-inf,0.4265791632485644,1040,2438,"SELL_BOTH, BUY_BOTH",67.5
4017263283405469185,0.0022634677954698414,7141.36641939,0.47766581359103716,-1.679303659372364e+124,0.336198347107438,2034,6050,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",96.5
3818233536529843712,0.014528842500302399,6419.607907139999,2.4491538792699927,-11754.365170187297,0.3391977480647431,482,1421,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",64.75
4039129759104249600,0.06531516721597985,1264.28919972,8.28716945676107,0.0,0.44360902255639095,59,133,"BUY_BOTH, SELL_BOTH",48.5
3911997667197443328,0.01217682905471068,605.72231024,2.743999734894255,-1.0632243334518035e+18,0.46875,30,64,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",78.5
4008804082027254529,0.0014981269954962215,3332.7334588699996,0.6142534411386191,-2.35119347375385e+25,0.5405128205128205,527,975,"BUY_BOTH, SELL_BOTH",86.75
3988187872032603905,0.007124850626848593,2599.7616706199997,1.4874909363960338,-1.4408416211760034e+23,0.3266513936617029,1711,5238,"SELL_LONG, BUY_SHORT, BUY_LONG, SELL_SHORT",95.5
4000222729738650369,0.01470158342261262,1803.62013328,3.938236785876932,-1.2250916002858825e+46,0.5605427974947808,537,958,"SELL_SHORT, SELL_LONG, BUY_LONG, BUY_SHORT",54.5
3998659472131949824,0.006166993759010916,1449.32593976,6.071017458107647,0.0,0.4897959183673469,72,147,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",67.25
4028701921959171840,0.007985926538828007,17601.40139824,4.376980875497777,-9.123700074960104e+44,0.5429403202328966,373,687,"BUY_LONG, BUY_SHORT, SELL_SHORT, SELL_LONG",36.25
4014818740371615232,0.004581441101119696,2013.6475100900002,3.0338224255431334,-1.3780617726553466e+39,0.20982986767485823,111,529,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",105.0
3768170840939476993,0.31785505157672533,243.66889897,6.735195819202305,0.0,0.42857142857142855,6,14,"SELL_BOTH, BUY_BOTH",52.0
